MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Given Name*,Family Name*,Works for Organizations (mPIDs),Affiliated to Organizations (mPIDs),Contact Points (mPIDs),Identifiers
mbo_balric,mbo_madsrj,mbo_wp2_d2,Benjamin,Alric,,,,
mbo_lamadeimartinez,mbo_sformel,mbo_db_tool_population,Luz,Amadei Martinez,mbo_org_vliz,,,https://orcid.org/0000-0001-5960-7972
mbo_11770,mbo_sformel,mbo_db_tool_population,Ward,Appeltans,mbo_org_obis,,,https://oceanexpert.org/expert/11770
mbo_24333,mbo_sformel,mbo_db_tool_population,Christos,Arvanitidis,,,,https://oceanexpert.org/expert/24333
mbo_roblinksdata,mbo_sformel,mbo_db_task_1_1,Rob,Barry,mbo_org_awi,mbo_org_awi,,
mbo_jbeatty,mbo_madsrj,mbo_wp2_d2,Jennifer,Beatty,,,,
mbo_28269,mbo_sformel,mbo_db_tool_population,Joana,Beja,,,,https://oceanexpert.org/expert/28269
mbo_49824,mbo_sformel,mbo_db_tool_population,Lisa,Benedetti,mbo_org_obis,,,https://oceanexpert.org/expert/49824
mbo_58369,mbo_sformel,mbo_db_tool_population,Caterina,Bergami,,,,https://oceanexpert.org/expert/58369
mbo_eboulanger,mbo_madsrj,mbo_wp2_d2,Emilie,Boulanger,mbo_org_obis,,,
mbo_cbowler,mbo_madsrj,mbo_wp2_d2,Chris,Bowler,,,,
mbo_34461,mbo_sformel,mbo_db_tool_population,Pier Luigi,Buttigieg,mbo_org_awi,,,https://oceanexpert.org/expert/34461
mbo_ccanobarbacil,mbo_sformel,mbo_db_tool_population,Carlos,Cano-Barbacil,mbo_org_sgn,,,https://orcid.org/0000-0002-6482-5103
mbo_59077,mbo_sformel,mbo_db_tool_population,Adriana,Constantinescu,,,,https://oceanexpert.org/expert/59077
mbo_38252,mbo_sformel,mbo_db_tool_population,Cristian,Cudalbu,,,,https://oceanexpert.org/expert/38252
mbo_todo_person_michaelcunliffe,mbo_jwarwickdugdale,mbo_task_jwd_test,Michael,Cunliffe,mbo_org_mba,,,
mbo_dalelio,mbo_madsrj,mbo_wp2_d2,Domenico ,D′Alelio,,,,
mbo_edebusschere,mbo_58464,mbo_task_4_4_seatrial,Elisabeth,Debusschere,mbo_org_vliz,,,https://orcid.org/0000-0002-5595-0295
mbo_15571,mbo_sformel,mbo_db_tool_population,Klaas,Deneudt,mbo_org_vliz,,,https://oceanexpert.org/expert/15571
mbo_39481,mbo_sformel,mbo_db_tool_population,Davide,Di Cioccio,,,,https://oceanexpert.org/expert/39481
mbo_58464,mbo_sformel,mbo_db_tool_population,Katrina,Exter,mbo_org_vliz,,,https://oceanexpert.org/expert/58464
mbo_66048,mbo_sformel,mbo_db_tool_population,Miguel,Fernandez,,,,https://oceanexpert.org/expert/66048
mbo_28159,mbo_sformel,mbo_db_tool_population,Vicente,Fernández,,,,https://oceanexpert.org/expert/28159
mbo_56774,mbo_sformel,mbo_db_tool_population,Chloe,Figueroa Ashforth,mbo_org_mba,,,https://oceanexpert.org/expert/56774
mbo_sformel,mbo_sformel,mbo_db_tool_population,Stephen,Formel,mbo_org_obis,,mbo_contact_sformel,https://oceanexpert.org/expert/54167
mbo_ngallo,mbo_sformel,mbo_db_tool_population,Natalya,Gallo,mbo_org_norce,,,https://orcid.org/0000-0001-5168-4244
mbo_55091,mbo_sformel,mbo_db_tool_population,Sarah Lou Carolin,Giering,,,,https://oceanexpert.org/expert/55091
mbo_58245,mbo_sformel,mbo_db_tool_population,Charlie,Gough,,,,https://oceanexpert.org/expert/58245
mbo_43953,mbo_sformel,mbo_db_tool_population,Maria,Grigoratou,,,,https://oceanexpert.org/expert/43953
mbo_58615,mbo_sformel,mbo_db_tool_population,Peter,Haase,,,,https://oceanexpert.org/expert/58615
mbo_58451,mbo_sformel,mbo_db_tool_population,Avril,Hanbidge,,,,https://oceanexpert.org/expert/58451
